學年度,族籍別,性別,等級別,在學數
109,卡那卡那富族,男,碩士班,1
109,卡那卡那富族,男,學士班,6
109,卡那卡那富族,男,二專,0
109,卡那卡那富族,男,五專,2
109,卡那卡那富族,女,總計,18
109,卡那卡那富族,女,博士班,0
109,卡那卡那富族,女,碩士班,1
109,卡那卡那富族,女,學士班,15
109,卡那卡那富族,女,二專,0
109,卡那卡那富族,女,五專,2
109,尚未申報族籍,男,總計,23
109,尚未申報族籍,男,博士班,1
109,尚未申報族籍,男,碩士班,3
109,尚未申報族籍,男,學士班,17
109,尚未申報族籍,男,二專,1
109,尚未申報族籍,男,五專,1
109,尚未申報族籍,女,總計,12
109,尚未申報族籍,女,博士班,0
109,尚未申報族籍,女,碩士班,4
109,尚未申報族籍,女,學士班,7
109,尚未申報族籍,女,二專,1
109,尚未申報族籍,女,五專,0
110,總計,男,總計,11235
110,總計,男,博士班,116
110,總計,男,碩士班,949
110,總計,男,學士班,9258
110,總計,男,二專,354
110,總計,男,五專,558
110,總計,女,總計,17205
110,總計,女,博士班,86
110,總計,女,碩士班,1405
110,總計,女,學士班,11737
110,總計,女,二專,656
110,總計,女,五專,3321
110,阿美族,男,總計,4102
110,阿美族,男,博士班,27
110,阿美族,男,碩士班,274
110,阿美族,男,學士班,3484
110,阿美族,男,二專,134
110,阿美族,男,五專,183
110,阿美族,女,總計,5689
110,阿美族,女,博士班,10
110,阿美族,女,碩士班,378
110,阿美族,女,學士班,4096
110,阿美族,女,二專,239
110,阿美族,女,五專,966
110,泰雅族,男,總計,1885
110,泰雅族,男,博士班,15
110,泰雅族,男,碩士班,172
110,泰雅族,男,學士班,1549
110,泰雅族,男,二專,49
110,泰雅族,男,五專,100
110,泰雅族,女,總計,2933
110,泰雅族,女,博士班,17
110,泰雅族,女,碩士班,224
110,泰雅族,女,學士班,1970
110,泰雅族,女,二專,94
110,泰雅族,女,五專,628
110,排灣族,男,總計,2039
110,排灣族,男,博士班,33
110,排灣族,男,碩士班,182
110,排灣族,男,學士班,1650
110,排灣族,男,二專,56
110,排灣族,男,五專,118
110,排灣族,女,總計,3387
110,排灣族,女,博士班,28
110,排灣族,女,碩士班,319
110,排灣族,女,學士班,2228
110,排灣族,女,二專,120
110,排灣族,女,五專,692
110,布農族,男,總計,1231
110,布農族,男,博士班,15
110,布農族,男,碩士班,127
110,布農族,男,學士班,978
110,布農族,男,二專,52
110,布農族,男,五專,59
110,布農族,女,總計,2004
110,布農族,女,博士班,8
110,布農族,女,碩士班,184
110,布農族,女,學士班,1259
110,布農族,女,二專,90
110,布農族,女,五專,463
110,卑南族,男,總計,250
110,卑南族,男,博士班,3
110,卑南族,男,碩士班,21
110,卑南族,男,學士班,200
110,卑南族,男,二專,15
110,卑南族,男,五專,11
110,卑南族,女,總計,471
110,卑南族,女,博士班,5
110,卑南族,女,碩士班,40
110,卑南族,女,學士班,333
110,卑南族,女,二專,15
110,卑南族,女,五專,78
110,鄒族,男,總計,113
110,鄒族,男,博士班,4
110,鄒族,男,碩士班,16
110,鄒族,男,學士班,78
110,鄒族,男,二專,6
110,鄒族,男,五專,9
110,鄒族,女,總計,186
110,鄒族,女,博士班,0
110,鄒族,女,碩士班,24
110,鄒族,女,學士班,139
110,鄒族,女,二專,7
110,鄒族,女,五專,16
110,魯凱族,男,總計,303
110,魯凱族,男,博士班,3
110,魯凱族,男,碩士班,28
110,魯凱族,男,學士班,235
110,魯凱族,男,二專,10
110,魯凱族,男,五專,27
110,魯凱族,女,總計,481
110,魯凱族,女,博士班,2
110,魯凱族,女,碩士班,60
110,魯凱族,女,學士班,328
110,魯凱族,女,二專,14
110,魯凱族,女,五專,77
110,賽夏族,男,總計,136
110,賽夏族,男,博士班,0
110,賽夏族,男,碩士班,11
110,賽夏族,男,學士班,120
110,賽夏族,男,二專,1
110,賽夏族,男,五專,4
110,賽夏族,女,總計,198
110,賽夏族,女,博士班,1
110,賽夏族,女,碩士班,10
110,賽夏族,女,學士班,153
110,賽夏族,女,二專,1
110,賽夏族,女,五專,33
110,雅美族,男,總計,91
110,雅美族,男,博士班,0
110,雅美族,男,碩士班,4
110,雅美族,男,學士班,86
110,雅美族,男,二專,1
110,雅美族,男,五專,0
110,雅美族,女,總計,147
110,雅美族,女,博士班,0
110,雅美族,女,碩士班,6
110,雅美族,女,學士班,124
110,雅美族,女,二專,6
110,雅美族,女,五專,11
110,邵族,男,總計,25
110,邵族,男,博士班,1
110,邵族,男,碩士班,0
110,邵族,男,學士班,24
110,邵族,男,二專,0
110,邵族,男,五專,0
110,邵族,女,總計,28
110,邵族,女,博士班,0
110,邵族,女,碩士班,3
110,邵族,女,學士班,22
110,邵族,女,二專,0
110,邵族,女,五專,3
110,噶瑪蘭族,男,總計,35
110,噶瑪蘭族,男,博士班,0
110,噶瑪蘭族,男,碩士班,4
110,噶瑪蘭族,男,學士班,29
110,噶瑪蘭族,男,二專,0
110,噶瑪蘭族,男,五專,2
110,噶瑪蘭族,女,總計,44
110,噶瑪蘭族,女,博士班,1
110,噶瑪蘭族,女,碩士班,10
110,噶瑪蘭族,女,學士班,22
110,噶瑪蘭族,女,二專,2
110,噶瑪蘭族,女,五專,9
110,太魯閣族,男,總計,727
110,太魯閣族,男,博士班,10
110,太魯閣族,男,碩士班,57
110,太魯閣族,男,學士班,604
110,太魯閣族,男,二專,26
110,太魯閣族,男,五專,30
110,太魯閣族,女,總計,1148
110,太魯閣族,女,博士班,7
110,太魯閣族,女,碩士班,83
110,太魯閣族,女,學士班,761
110,太魯閣族,女,二專,57
110,太魯閣族,女,五專,240
110,撒奇萊雅族,男,總計,26
110,撒奇萊雅族,男,博士班,1
110,撒奇萊雅族,男,碩士班,5
110,撒奇萊雅族,男,學士班,18
110,撒奇萊雅族,男,二專,0
110,撒奇萊雅族,男,五專,2
110,撒奇萊雅族,女,總計,34
110,撒奇萊雅族,女,博士班,1
